x	y	r	P( r )	I	SINR	SINRdB	SC	Throughput
0.73	-0.35	0.809568	1.072e-008	9.35899e-009	1.14541	0.589625	5.11297	3.9936
-0.49	0.61	0.782432	1.21612e-008	7.84314e-009	1.55055	1.90486	6.27161	5.3248
-0.14	0.71	0.723671	1.62341e-008	7.42074e-009	2.18765	3.39978	7.76515	5.3248
0.9	-0.11	0.906697	7.04887e-009	9.70885e-009	0.726022	-1.3905	3.65602	2.6624
-0.77	0.02	0.77026	1.28876e-008	7.48615e-009	1.72152	2.35911	6.7062	5.3248
0.54	-0.52	0.749667	1.42468e-008	7.71092e-009	1.84761	2.6661	7.00956	5.3248
-0.62	-0.33	0.702353	1.81332e-008	7.27853e-009	2.49131	3.96429	8.37465	7.9872
0.19	0.13	0.230217	1.12414e-006	4.09864e-009	274.268	24.3818	37.6289	19.968
0.66	-0.22	0.695701	1.87831e-008	7.01421e-009	2.67784	4.27785	8.72328	7.9872
0.8	0.32	0.861626	8.51236e-009	1.05531e-008	0.806621	-0.933302	3.96172	2.6624
0.69	-0.28	0.744648	1.46054e-008	7.8678e-009	1.85634	2.68657	7.03006	5.3248
-0.44	0.21	0.487545	6.99965e-008	5.11781e-009	13.6769	11.3599	17.9933	15.964
0.47	0.25	0.532353	5.05581e-008	5.42876e-009	9.31293	9.69087	15.6296	11.9808
0.01	0.4	0.400125	1.45414e-007	4.65175e-009	31.2598	14.9499	23.2684	19.968
-0.62	-0.12	0.631506	2.6874e-008	6.15799e-009	4.36407	6.39891	11.2512	10.6496
-0.32	0.4	0.51225	5.82971e-008	5.22893e-009	11.1489	10.4723	16.7271	15.964
-0.38	-0.58	0.693397	1.9015e-008	6.66179e-009	2.85432	4.55502	9.03721	7.9872
0.28	-0.24	0.368782	1.96645e-007	4.5164e-009	43.5398	16.3889	25.429	19.968
-0.3	0.23	0.378021	1.7944e-007	4.55487e-009	39.3949	15.9544	24.7748	19.968
0.68	-0.06	0.682642	2.01473e-008	6.57292e-009	3.06517	4.86455	9.39397	7.9872
0.08	0.31	0.320156	3.31811e-007	4.34084e-009	76.4387	18.8331	29.1338	19.968
-0.59	-0.12	0.60208	3.20634e-008	5.9021e-009	5.43251	7.35001	12.4678	11.9808
-0.46	-0.68	0.820975	1.01791e-008	8.17871e-009	1.24458	0.950223	5.41564	5.3248
0.52	0.29	0.595399	3.34149e-008	5.96903e-009	5.59801	7.48034	12.638	11.9808
-0.52	-0.11	0.531507	5.08564e-008	5.36625e-009	9.47703	9.76672	15.7354	11.9808
0.55	0.66	0.859127	8.60433e-009	9.13723e-009	0.941674	-0.260996	4.44461	3.9936
-0.7	-0.36	0.787147	1.18939e-008	8.86482e-009	1.34169	1.27652	5.69934	5.3248
-0.44	0.25	0.506063	6.09779e-008	5.24175e-009	11.633	10.6569	16.9888	15.964
0.8	0.31	0.857963	8.64763e-009	1.03833e-008	0.832833	-0.794421	4.05821	3.9936
0.56	0.76	0.944034	6.07122e-009	1.03359e-008	0.587391	-2.31073	3.09519	2.6624
-0.71	0.27	0.759605	1.35692e-008	8.08795e-009	1.6777	2.24714	6.59747	5.3248
0.05	0.37	0.373363	1.87864e-007	4.53581e-009	41.4176	16.1719	25.102	19.968
-0.66	0.53	0.846463	9.09034e-009	1.00637e-008	0.90328	-0.441777	4.31084	3.9936
-0.64	-0.38	0.744312	1.46298e-008	7.99772e-009	1.82923	2.62269	6.96619	5.3248
0.3	0.25	0.390512	1.59104e-007	4.60631e-009	34.5401	15.3832	23.9171	19.968
-0.12	0.24	0.268328	6.37771e-007	4.1889e-009	152.251	21.8256	33.706	19.968
-0.22	-0.23	0.318277	3.39119e-007	4.33443e-009	78.2378	18.9342	29.2877	19.968
0.97	-0.05	0.971288	5.4644e-009	1.04643e-008	0.52219	-2.82171	2.81426	2.6624
